message_function_code-1001,party_id-3039,product_number-7140,location_code-3225,start,end,quantity_value-6060,quantity_qualifier-6063,message
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-30 23:00:00,2024-12-30 23:15:00,1.903,220,MSCONS_TL_9905048000007_9985046000001_20250101_CS0000000G0TR8.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-30 23:15:00,2024-12-30 23:30:00,1.7,220,MSCONS_TL_9905048000007_9985046000001_20250101_CS0000000G0TR8.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-30 23:30:00,2024-12-30 23:45:00,1.319,220,MSCONS_TL_9905048000007_9985046000001_20250101_CS0000000G0TR8.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-30 23:45:00,2024-12-31 00:00:00,2.302,Z18,MSCONS_TL_9905048000007_9985046000001_20250101_CS0000000G0TR8.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-31 00:00:00,2024-12-31 00:15:00,2.302,Z18,MSCONS_TL_9905048000007_9985046000001_20250101_CS0000000G0TR8.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-31 00:15:00,2024-12-31 00:30:00,2.91,220,MSCONS_TL_9905048000007_9985046000001_20250101_CS0000000G0TR8.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-31 00:30:00,2024-12-31 00:45:00,3.889,220,MSCONS_TL_9905048000007_9985046000001_20250101_CS0000000G0TR8.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-31 00:45:00,2024-12-31 01:00:00,3.116,220,MSCONS_TL_9905048000007_9985046000001_20250101_CS0000000G0TR8.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-31 01:00:00,2024-12-31 01:15:00,0.071,220,MSCONS_TL_9905048000007_9985046000001_20250101_CS0000000G0TR8.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-31 01:15:00,2024-12-31 01:30:00,1.673,220,MSCONS_TL_9905048000007_9985046000001_20250101_CS0000000G0TR8.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-31 01:30:00,2024-12-31 01:45:00,1.442,220,MSCONS_TL_9905048000007_9985046000001_20250101_CS0000000G0TR8.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-31 01:45:00,2024-12-31 02:00:00,1.538,220,MSCONS_TL_9905048000007_9985046000001_20250101_CS0000000G0TR8.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-31 02:00:00,2024-12-31 02:15:00,1.712,220,MSCONS_TL_9905048000007_9985046000001_20250101_CS0000000G0TR8.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-31 02:15:00,2024-12-31 02:30:00,2.374,220,MSCONS_TL_9905048000007_9985046000001_20250101_CS0000000G0TR8.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-31 02:30:00,2024-12-31 02:45:00,2.195,220,MSCONS_TL_9905048000007_9985046000001_20250101_CS0000000G0TR8.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-31 02:45:00,2024-12-31 03:00:00,3.547,220,MSCONS_TL_9905048000007_9985046000001_20250101_CS0000000G0TR8.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-31 03:00:00,2024-12-31 03:15:00,3.5,220,MSCONS_TL_9905048000007_9985046000001_20250101_CS0000000G0TR8.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-31 03:15:00,2024-12-31 03:30:00,4.056,220,MSCONS_TL_9905048000007_9985046000001_20250101_CS0000000G0TR8.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-31 03:30:00,2024-12-31 03:45:00,3.707,220,MSCONS_TL_9905048000007_9985046000001_20250101_CS0000000G0TR8.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-31 03:45:00,2024-12-31 04:00:00,2.177,220,MSCONS_TL_9905048000007_9985046000001_20250101_CS0000000G0TR8.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-31 04:00:00,2024-12-31 04:15:00,1.388,220,MSCONS_TL_9905048000007_9985046000001_20250101_CS0000000G0TR8.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-31 04:15:00,2024-12-31 04:30:00,1.465,220,MSCONS_TL_9905048000007_9985046000001_20250101_CS0000000G0TR8.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-31 04:30:00,2024-12-31 04:45:00,1.697,220,MSCONS_TL_9905048000007_9985046000001_20250101_CS0000000G0TR8.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-31 04:45:00,2024-12-31 05:00:00,1.523,220,MSCONS_TL_9905048000007_9985046000001_20250101_CS0000000G0TR8.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-31 05:00:00,2024-12-31 05:15:00,1.854,220,MSCONS_TL_9905048000007_9985046000001_20250101_CS0000000G0TR8.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-31 05:15:00,2024-12-31 05:30:00,2.043,220,MSCONS_TL_9905048000007_9985046000001_20250101_CS0000000G0TR8.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-31 05:30:00,2024-12-31 05:45:00,2.901,220,MSCONS_TL_9905048000007_9985046000001_20250101_CS0000000G0TR8.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-31 05:45:00,2024-12-31 06:00:00,4.067,220,MSCONS_TL_9905048000007_9985046000001_20250101_CS0000000G0TR8.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-31 06:00:00,2024-12-31 06:15:00,3.567,220,MSCONS_TL_9905048000007_9985046000001_20250101_CS0000000G0TR8.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-31 06:15:00,2024-12-31 06:30:00,2.48,220,MSCONS_TL_9905048000007_9985046000001_20250101_CS0000000G0TR8.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-31 06:30:00,2024-12-31 06:45:00,4.253,220,MSCONS_TL_9905048000007_9985046000001_20250101_CS0000000G0TR8.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-31 06:45:00,2024-12-31 07:00:00,4.131,220,MSCONS_TL_9905048000007_9985046000001_20250101_CS0000000G0TR8.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-31 07:00:00,2024-12-31 07:15:00,2.429,220,MSCONS_TL_9905048000007_9985046000001_20250101_CS0000000G0TR8.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-31 07:15:00,2024-12-31 07:30:00,3.989,220,MSCONS_TL_9905048000007_9985046000001_20250101_CS0000000G0TR8.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-31 07:30:00,2024-12-31 07:45:00,4.098,220,MSCONS_TL_9905048000007_9985046000001_20250101_CS0000000G0TR8.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-31 07:45:00,2024-12-31 08:00:00,2.912,220,MSCONS_TL_9905048000007_9985046000001_20250101_CS0000000G0TR8.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-31 08:00:00,2024-12-31 08:15:00,1.604,220,MSCONS_TL_9905048000007_9985046000001_20250101_CS0000000G0TR8.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-31 08:15:00,2024-12-31 08:30:00,0.889,220,MSCONS_TL_9905048000007_9985046000001_20250101_CS0000000G0TR8.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-31 08:30:00,2024-12-31 08:45:00,0.939,220,MSCONS_TL_9905048000007_9985046000001_20250101_CS0000000G0TR8.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-31 08:45:00,2024-12-31 09:00:00,0.092,220,MSCONS_TL_9905048000007_9985046000001_20250101_CS0000000G0TR8.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-31 09:00:00,2024-12-31 09:15:00,0.035,220,MSCONS_TL_9905048000007_9985046000001_20250101_CS0000000G0TR8.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-31 09:15:00,2024-12-31 09:30:00,0.034,220,MSCONS_TL_9905048000007_9985046000001_20250101_CS0000000G0TR8.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-31 09:30:00,2024-12-31 09:45:00,0.044,220,MSCONS_TL_9905048000007_9985046000001_20250101_CS0000000G0TR8.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-31 09:45:00,2024-12-31 10:00:00,0.032,220,MSCONS_TL_9905048000007_9985046000001_20250101_CS0000000G0TR8.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-31 10:00:00,2024-12-31 10:15:00,0.05,220,MSCONS_TL_9905048000007_9985046000001_20250101_CS0000000G0TR8.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-31 10:15:00,2024-12-31 10:30:00,0.055,220,MSCONS_TL_9905048000007_9985046000001_20250101_CS0000000G0TR8.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-31 10:30:00,2024-12-31 10:45:00,0.046,220,MSCONS_TL_9905048000007_9985046000001_20250101_CS0000000G0TR8.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-31 10:45:00,2024-12-31 11:00:00,0.04,220,MSCONS_TL_9905048000007_9985046000001_20250101_CS0000000G0TR8.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-31 11:00:00,2024-12-31 11:15:00,0.044,220,MSCONS_TL_9905048000007_9985046000001_20250101_CS0000000G0TR8.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-31 11:15:00,2024-12-31 11:30:00,0.042,220,MSCONS_TL_9905048000007_9985046000001_20250101_CS0000000G0TR8.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-31 11:30:00,2024-12-31 11:45:00,0.059,220,MSCONS_TL_9905048000007_9985046000001_20250101_CS0000000G0TR8.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-31 11:45:00,2024-12-31 12:00:00,0.052,220,MSCONS_TL_9905048000007_9985046000001_20250101_CS0000000G0TR8.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-31 12:00:00,2024-12-31 12:15:00,0.058,220,MSCONS_TL_9905048000007_9985046000001_20250101_CS0000000G0TR8.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-31 12:15:00,2024-12-31 12:30:00,0.042,220,MSCONS_TL_9905048000007_9985046000001_20250101_CS0000000G0TR8.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-31 12:30:00,2024-12-31 12:45:00,0.032,220,MSCONS_TL_9905048000007_9985046000001_20250101_CS0000000G0TR8.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-31 12:45:00,2024-12-31 13:00:00,0.044,220,MSCONS_TL_9905048000007_9985046000001_20250101_CS0000000G0TR8.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-31 13:00:00,2024-12-31 13:15:00,0.054,220,MSCONS_TL_9905048000007_9985046000001_20250101_CS0000000G0TR8.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-31 13:15:00,2024-12-31 13:30:00,0.077,220,MSCONS_TL_9905048000007_9985046000001_20250101_CS0000000G0TR8.json
