message_function_code-1001,party_id-3039,product_number-7140,location_code-3225,start,end,quantity_value-6060,quantity_qualifier-6063,message
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-04 23:00:00,2024-12-04 23:15:00,2.146,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAZ6J.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-04 23:15:00,2024-12-04 23:30:00,2.505,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAZ6J.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-04 23:30:00,2024-12-04 23:45:00,1.888,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAZ6J.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-04 23:45:00,2024-12-05 00:00:00,2.126,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAZ6J.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-05 00:00:00,2024-12-05 00:15:00,2.188,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAZ6J.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-05 00:15:00,2024-12-05 00:30:00,2.773,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAZ6J.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-05 00:30:00,2024-12-05 00:45:00,2.874,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAZ6J.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-05 00:45:00,2024-12-05 01:00:00,2.236,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAZ6J.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-05 01:00:00,2024-12-05 01:15:00,2.524,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAZ6J.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-05 01:15:00,2024-12-05 01:30:00,2.432,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAZ6J.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-05 01:30:00,2024-12-05 01:45:00,2.387,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAZ6J.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-05 01:45:00,2024-12-05 02:00:00,2.591,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAZ6J.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-05 02:00:00,2024-12-05 02:15:00,2.387,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAZ6J.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-05 02:15:00,2024-12-05 02:30:00,3.098,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAZ6J.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-05 02:30:00,2024-12-05 02:45:00,3.046,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAZ6J.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-05 02:45:00,2024-12-05 03:00:00,3.294,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAZ6J.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-05 03:00:00,2024-12-05 03:15:00,2.566,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAZ6J.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-05 03:15:00,2024-12-05 03:30:00,2.032,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAZ6J.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-05 03:30:00,2024-12-05 03:45:00,1.889,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAZ6J.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-05 03:45:00,2024-12-05 04:00:00,1.649,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAZ6J.json
