message_function_code-1001,party_id-3039,product_number-7140,location_code-3225,start,end,quantity_value-6060,quantity_qualifier-6063,message
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-02 23:00:00,2024-12-02 23:15:00,1.8,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FT088.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-02 23:15:00,2024-12-02 23:30:00,1.584,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FT088.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-02 23:30:00,2024-12-02 23:45:00,1.405,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FT088.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-02 23:45:00,2024-12-03 00:00:00,1.423,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FT088.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-03 00:00:00,2024-12-03 00:15:00,1.786,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FT088.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-03 00:15:00,2024-12-03 00:30:00,2.472,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FT088.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-03 00:30:00,2024-12-03 00:45:00,2.782,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FT088.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-03 00:45:00,2024-12-03 01:00:00,2.354,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FT088.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-03 01:00:00,2024-12-03 01:15:00,1.486,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FT088.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-03 01:15:00,2024-12-03 01:30:00,1.493,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FT088.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-03 01:30:00,2024-12-03 01:45:00,1.242,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FT088.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-03 01:45:00,2024-12-03 02:00:00,1.192,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FT088.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-03 02:00:00,2024-12-03 02:15:00,1.377,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FT088.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-03 02:15:00,2024-12-03 02:30:00,1.486,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FT088.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-03 02:30:00,2024-12-03 02:45:00,1.564,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FT088.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-03 02:45:00,2024-12-03 03:00:00,1.398,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FT088.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-03 03:00:00,2024-12-03 03:15:00,1.446,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FT088.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-03 03:15:00,2024-12-03 03:30:00,1.645,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FT088.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-03 03:30:00,2024-12-03 03:45:00,1.845,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FT088.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-03 03:45:00,2024-12-03 04:00:00,1.766,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FT088.json
