message_function_code-1001,party_id-3039,product_number-7140,location_code-3225,start,end,quantity_value-6060,quantity_qualifier-6063,message
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-22 23:00:00,2024-12-22 23:15:00,1.258,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9ZSF.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-22 23:15:00,2024-12-22 23:30:00,1.272,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9ZSF.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-22 23:30:00,2024-12-22 23:45:00,1.23,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9ZSF.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-22 23:45:00,2024-12-23 00:00:00,1.439,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9ZSF.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-23 00:00:00,2024-12-23 00:15:00,1.446,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9ZSF.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-23 00:15:00,2024-12-23 00:30:00,1.411,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9ZSF.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-23 00:30:00,2024-12-23 00:45:00,1.209,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9ZSF.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-23 00:45:00,2024-12-23 01:00:00,1.298,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9ZSF.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-23 01:00:00,2024-12-23 01:15:00,1.145,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9ZSF.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-23 01:15:00,2024-12-23 01:30:00,1.151,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9ZSF.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-23 01:30:00,2024-12-23 01:45:00,1.227,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9ZSF.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-23 01:45:00,2024-12-23 02:00:00,1.556,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9ZSF.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-23 02:00:00,2024-12-23 02:15:00,1.402,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9ZSF.json
