message_function_code-1001,party_id-3039,product_number-7140,location_code-3225,start,end,quantity_value-6060,quantity_qualifier-6063,message
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-07 23:00:00,2025-01-07 23:15:00,0.619,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAIP0.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-07 23:15:00,2025-01-07 23:30:00,1.166,Z18,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAIP0.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-07 23:30:00,2025-01-07 23:45:00,1.166,Z18,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAIP0.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-07 23:45:00,2025-01-08 00:00:00,1.166,Z18,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAIP0.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-08 00:00:00,2025-01-08 00:15:00,1.121,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAIP0.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-08 00:15:00,2025-01-08 00:30:00,1.058,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAIP0.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-08 00:30:00,2025-01-08 00:45:00,1.206,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAIP0.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-08 00:45:00,2025-01-08 01:00:00,1.113,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAIP0.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-08 01:00:00,2025-01-08 01:15:00,1.41,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAIP0.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-08 01:15:00,2025-01-08 01:30:00,1.238,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAIP0.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-08 01:30:00,2025-01-08 01:45:00,1.385,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAIP0.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-08 01:45:00,2025-01-08 02:00:00,1.566,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAIP0.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-08 02:00:00,2025-01-08 02:15:00,2.165,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAIP0.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-08 02:15:00,2025-01-08 02:30:00,3.019,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAIP0.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-08 02:30:00,2025-01-08 02:45:00,2.368,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAIP0.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-08 02:45:00,2025-01-08 03:00:00,1.351,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAIP0.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-08 03:00:00,2025-01-08 03:15:00,0.284,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAIP0.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-08 03:15:00,2025-01-08 03:30:00,0.668,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAIP0.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-08 03:30:00,2025-01-08 03:45:00,0.634,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAIP0.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-08 03:45:00,2025-01-08 04:00:00,0.734,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAIP0.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-08 04:00:00,2025-01-08 04:15:00,1.272,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAIP0.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-08 04:15:00,2025-01-08 04:30:00,1.101,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAIP0.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-08 04:30:00,2025-01-08 04:45:00,1.088,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAIP0.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-08 04:45:00,2025-01-08 05:00:00,0.967,Z18,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAIP0.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-08 05:00:00,2025-01-08 05:15:00,0.967,Z18,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAIP0.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-08 05:15:00,2025-01-08 05:30:00,1.031,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAIP0.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-08 05:30:00,2025-01-08 05:45:00,1.221,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAIP0.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-08 05:45:00,2025-01-08 06:00:00,1.515,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAIP0.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-08 06:00:00,2025-01-08 06:15:00,2.836,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAIP0.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-08 06:15:00,2025-01-08 06:30:00,2.954,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAIP0.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-08 06:30:00,2025-01-08 06:45:00,2.322,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAIP0.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-08 06:45:00,2025-01-08 07:00:00,4.25,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAIP0.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-08 07:00:00,2025-01-08 07:15:00,1.864,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAIP0.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-08 07:15:00,2025-01-08 07:30:00,2.938,Z18,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAIP0.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-08 07:30:00,2025-01-08 07:45:00,2.938,Z18,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAIP0.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-08 07:45:00,2025-01-08 08:00:00,2.938,Z18,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAIP0.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-08 08:00:00,2025-01-08 08:15:00,1.62,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAIP0.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-08 08:15:00,2025-01-08 08:30:00,0.087,Z18,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAIP0.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-08 08:30:00,2025-01-08 08:45:00,0.087,Z18,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAIP0.json
