message_function_code-1001,party_id-3039,product_number-7140,location_code-3225,start,end,quantity_value-6060,quantity_qualifier-6063,message
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-11 23:00:00,2024-12-11 23:15:00,1.296,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAZ66.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-11 23:15:00,2024-12-11 23:30:00,1.668,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAZ66.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-11 23:30:00,2024-12-11 23:45:00,1.697,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAZ66.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-11 23:45:00,2024-12-12 00:00:00,1.192,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAZ66.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-12 00:00:00,2024-12-12 00:15:00,1.609,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAZ66.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-12 00:15:00,2024-12-12 00:30:00,1.468,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAZ66.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-12 00:30:00,2024-12-12 00:45:00,1.312,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAZ66.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-12 00:45:00,2024-12-12 01:00:00,0.984,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAZ66.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-12 01:00:00,2024-12-12 01:15:00,1.66,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAZ66.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-12 01:15:00,2024-12-12 01:30:00,1.856,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAZ66.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-12 01:30:00,2024-12-12 01:45:00,2.068,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAZ66.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-12 01:45:00,2024-12-12 02:00:00,2.018,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAZ66.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-12 02:00:00,2024-12-12 02:15:00,2.048,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAZ66.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-12 02:15:00,2024-12-12 02:30:00,1.975,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAZ66.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-12 02:30:00,2024-12-12 02:45:00,2.241,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAZ66.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-12 02:45:00,2024-12-12 03:00:00,2.186,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAZ66.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-12 03:00:00,2024-12-12 03:15:00,0.202,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAZ66.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-12 03:15:00,2024-12-12 03:30:00,0.005,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAZ66.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-12 03:30:00,2024-12-12 03:45:00,0.059,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAZ66.json
