message_function_code-1001,party_id-3039,product_number-7140,location_code-3225,start,end,quantity_value-6060,quantity_qualifier-6063,message
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-27 23:00:00,2024-12-27 23:15:00,0.886,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAZ6P.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-27 23:15:00,2024-12-27 23:30:00,1.952,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAZ6P.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-27 23:30:00,2024-12-27 23:45:00,2.181,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAZ6P.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-27 23:45:00,2024-12-28 00:00:00,1.506,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAZ6P.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-28 00:00:00,2024-12-28 00:15:00,2.892,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAZ6P.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-28 00:15:00,2024-12-28 00:30:00,2.984,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAZ6P.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-28 00:30:00,2024-12-28 00:45:00,1.205,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAZ6P.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-28 00:45:00,2024-12-28 01:00:00,0.816,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAZ6P.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-28 01:00:00,2024-12-28 01:15:00,0.738,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAZ6P.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-28 01:15:00,2024-12-28 01:30:00,1.033,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAZ6P.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-28 01:30:00,2024-12-28 01:45:00,1.401,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAZ6P.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-28 01:45:00,2024-12-28 02:00:00,3.122,67,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAZ6P.json
