meetering_point_id,obis_code,quantity_value-6060,quantity_qualifier-6063,start,end,status_category,status_reason,message_type,Sender,Receiver
50120962218,1-1:1.29.0,1.503,220,202412102300+00,202412102315+00,,,TL,9905048000007,9985046000001
50120962218,1-1:1.29.0,1.785,220,202412102315+00,202412102330+00,,,TL,9905048000007,9985046000001
50120962218,1-1:1.29.0,1.691,220,202412102330+00,202412102345+00,,,TL,9905048000007,9985046000001
50120962218,1-1:1.29.0,2.095,Z18,202412102345+00,202412110000+00,,,TL,9905048000007,9985046000001
50120962218,1-1:1.29.0,2.095,Z18,202412110000+00,202412110015+00,,,TL,9905048000007,9985046000001
50120962218,1-1:1.29.0,3.393,220,202412110015+00,202412110030+00,,,TL,9905048000007,9985046000001
50120962218,1-1:1.29.0,2.189,220,202412110030+00,202412110045+00,,,TL,9905048000007,9985046000001
50120962218,1-1:1.29.0,1.146,220,202412110045+00,202412110100+00,,,TL,9905048000007,9985046000001
50120962218,1-1:1.29.0,1.649,220,202412110100+00,202412110115+00,,,TL,9905048000007,9985046000001
50120962218,1-1:1.29.0,1.711,220,202412110115+00,202412110130+00,,,TL,9905048000007,9985046000001
50120962218,1-1:1.29.0,1.809,220,202412110130+00,202412110145+00,,,TL,9905048000007,9985046000001
50120962218,1-1:1.29.0,1.803,220,202412110145+00,202412110200+00,,,TL,9905048000007,9985046000001
50120962218,1-1:1.29.0,2.312,220,202412110200+00,202412110215+00,,,TL,9905048000007,9985046000001
50120962218,1-1:1.29.0,3.056,220,202412110215+00,202412110230+00,,,TL,9905048000007,9985046000001
50120962218,1-1:1.29.0,3.036,220,202412110230+00,202412110245+00,,,TL,9905048000007,9985046000001
50120962218,1-1:1.29.0,3.054,220,202412110245+00,202412110300+00,,,TL,9905048000007,9985046000001
50120962218,1-1:1.29.0,0.437,220,202412110300+00,202412110315+00,,,TL,9905048000007,9985046000001
50120962218,1-1:1.29.0,1.587,220,202412110315+00,202412110330+00,,,TL,9905048000007,9985046000001
50120962218,1-1:1.29.0,1.657,220,202412110330+00,202412110345+00,,,TL,9905048000007,9985046000001
50120962218,1-1:1.29.0,1.703,220,202412110345+00,202412110400+00,,,TL,9905048000007,9985046000001
50120962218,1-1:1.29.0,1.871,220,202412110400+00,202412110415+00,,,TL,9905048000007,9985046000001
50120962218,1-1:1.29.0,1.897,220,202412110415+00,202412110430+00,,,TL,9905048000007,9985046000001
50120962218,1-1:1.29.0,1.901,220,202412110430+00,202412110445+00,,,TL,9905048000007,9985046000001
50120962218,1-1:1.29.0,2.767,220,202412110445+00,202412110500+00,,,TL,9905048000007,9985046000001
50120962218,1-1:1.29.0,2.484,220,202412110500+00,202412110515+00,,,TL,9905048000007,9985046000001
50120962218,1-1:1.29.0,2.646,220,202412110515+00,202412110530+00,,,TL,9905048000007,9985046000001
50120962218,1-1:1.29.0,2.809,220,202412110530+00,202412110545+00,,,TL,9905048000007,9985046000001
50120962218,1-1:1.29.0,2.351,220,202412110545+00,202412110600+00,,,TL,9905048000007,9985046000001
50120962218,1-1:1.29.0,2.19,220,202412110600+00,202412110615+00,,,TL,9905048000007,9985046000001
50120962218,1-1:1.29.0,2.314,220,202412110615+00,202412110630+00,,,TL,9905048000007,9985046000001
50120962218,1-1:1.29.0,2.652,220,202412110630+00,202412110645+00,,,TL,9905048000007,9985046000001
50120962218,1-1:1.29.0,3.272,Z18,202412110645+00,202412110700+00,,,TL,9905048000007,9985046000001
50120962218,1-1:1.29.0,3.272,Z18,202412110700+00,202412110715+00,,,TL,9905048000007,9985046000001
50120962218,1-1:1.29.0,2.402,220,202412110715+00,202412110730+00,,,TL,9905048000007,9985046000001
50120962218,1-1:1.29.0,2.26,220,202412110730+00,202412110745+00,,,TL,9905048000007,9985046000001
50120962218,1-1:1.29.0,1.639,220,202412110745+00,202412110800+00,,,TL,9905048000007,9985046000001
50120962218,1-1:1.29.0,1.007,Z18,202412110800+00,202412110815+00,,,TL,9905048000007,9985046000001
50120962218,1-1:1.29.0,1.007,Z18,202412110815+00,202412110830+00,,,TL,9905048000007,9985046000001
50120962218,1-1:1.29.0,1.007,Z18,202412110830+00,202412110845+00,,,TL,9905048000007,9985046000001
50120962218,1-1:1.29.0,1.343,220,202412110845+00,202412110900+00,,,TL,9905048000007,9985046000001
50120962218,1-1:1.29.0,1.483,220,202412110900+00,202412110915+00,,,TL,9905048000007,9985046000001
50120962218,1-1:1.29.0,3.726,220,202412110915+00,202412110930+00,,,TL,9905048000007,9985046000001
50120962218,1-1:1.29.0,1.536,220,202412110930+00,202412110945+00,,,TL,9905048000007,9985046000001
50120962218,1-1:1.29.0,2.422,220,202412110945+00,202412111000+00,,,TL,9905048000007,9985046000001
50120962218,1-1:1.29.0,2.457,220,202412111000+00,202412111015+00,,,TL,9905048000007,9985046000001
50120962218,1-1:1.29.0,2.337,220,202412111015+00,202412111030+00,,,TL,9905048000007,9985046000001
50120962218,1-1:1.29.0,2.928,220,202412111030+00,202412111045+00,,,TL,9905048000007,9985046000001
50120962218,1-1:1.29.0,3.211,220,202412111045+00,202412111100+00,,,TL,9905048000007,9985046000001
50120962218,1-1:1.29.0,3.322,220,202412111100+00,202412111115+00,,,TL,9905048000007,9985046000001
50120962218,1-1:1.29.0,2.848,220,202412111115+00,202412111130+00,,,TL,9905048000007,9985046000001
50120962218,1-1:1.29.0,2.465,220,202412111130+00,202412111145+00,,,TL,9905048000007,9985046000001
50120962218,1-1:1.29.0,3.216,220,202412111145+00,202412111200+00,,,TL,9905048000007,9985046000001
50120962218,1-1:1.29.0,1.293,220,202412111200+00,202412111215+00,,,TL,9905048000007,9985046000001
50120962218,1-1:1.29.0,0.937,220,202412111215+00,202412111230+00,,,TL,9905048000007,9985046000001
50120962218,1-1:1.29.0,0.657,220,202412111230+00,202412111245+00,,,TL,9905048000007,9985046000001
50120962218,1-1:1.29.0,0.847,220,202412111245+00,202412111300+00,,,TL,9905048000007,9985046000001
50120962218,1-1:1.29.0,1.558,Z18,202412111300+00,202412111315+00,,,TL,9905048000007,9985046000001
50120962218,1-1:1.29.0,1.558,Z18,202412111315+00,202412111330+00,,,TL,9905048000007,9985046000001
50120962218,1-1:1.29.0,1.558,Z18,202412111330+00,202412111345+00,,,TL,9905048000007,9985046000001
50120962218,1-1:1.29.0,2.313,220,202412111345+00,202412111400+00,,,TL,9905048000007,9985046000001
50120962218,1-1:1.29.0,2.124,220,202412111400+00,202412111415+00,,,TL,9905048000007,9985046000001
50120962218,1-1:1.29.0,1.974,220,202412111415+00,202412111430+00,,,TL,9905048000007,9985046000001
