meetering_point_id,obis_code,quantity_value-6060,quantity_qualifier-6063,start,end,status_category,status_reason,message_type,Sender,Receiver
50120962218,1-1:1.29.0,0.886,220,202412272300+00,202412272315+00,,,TL,9905048000007,9985046000001
50120962218,1-1:1.29.0,1.952,220,202412272315+00,202412272330+00,,,TL,9905048000007,9985046000001
50120962218,1-1:1.29.0,2.181,220,202412272330+00,202412272345+00,,,TL,9905048000007,9985046000001
50120962218,1-1:1.29.0,1.506,220,202412272345+00,202412280000+00,,,TL,9905048000007,9985046000001
50120962218,1-1:1.29.0,2.892,220,202412280000+00,202412280015+00,,,TL,9905048000007,9985046000001
50120962218,1-1:1.29.0,2.984,220,202412280015+00,202412280030+00,,,TL,9905048000007,9985046000001
50120962218,1-1:1.29.0,1.205,220,202412280030+00,202412280045+00,,,TL,9905048000007,9985046000001
50120962218,1-1:1.29.0,0.816,220,202412280045+00,202412280100+00,,,TL,9905048000007,9985046000001
50120962218,1-1:1.29.0,0.738,220,202412280100+00,202412280115+00,,,TL,9905048000007,9985046000001
50120962218,1-1:1.29.0,1.033,220,202412280115+00,202412280130+00,,,TL,9905048000007,9985046000001
50120962218,1-1:1.29.0,1.401,220,202412280130+00,202412280145+00,,,TL,9905048000007,9985046000001
50120962218,1-1:1.29.0,3.122,67,202412280145+00,202412280200+00,Z40,ZB0,TL,9905048000007,9985046000001
50120962218,1-1:1.29.0,3.122,67,202412280200+00,202412280215+00,Z40,ZB0,TL,9905048000007,9985046000001
50120962218,1-1:1.29.0,2.726,220,202412280215+00,202412280230+00,,,TL,9905048000007,9985046000001
50120962218,1-1:1.29.0,2.828,220,202412280230+00,202412280245+00,,,TL,9905048000007,9985046000001
50120962218,1-1:1.29.0,2.145,220,202412280245+00,202412280300+00,,,TL,9905048000007,9985046000001
50120962218,1-1:1.29.0,1.044,220,202412280300+00,202412280315+00,,,TL,9905048000007,9985046000001
50120962218,1-1:1.29.0,1.2,220,202412280315+00,202412280330+00,,,TL,9905048000007,9985046000001
50120962218,1-1:1.29.0,1.197,220,202412280330+00,202412280345+00,,,TL,9905048000007,9985046000001
50120962218,1-1:1.29.0,1.67,220,202412280345+00,202412280400+00,,,TL,9905048000007,9985046000001
