meetering_point_id,obis_code,quantity_value-6060,quantity_qualifier-6063,start,end,status_category,status_reason,message_type,Sender,Receiver
50120962218,1-1:1.29.0,1.102,220,202412182300+00,202412182315+00,Z34,ZA4,TL,9905048000007,9985046000001
50120962218,1-1:1.29.0,1.116,220,202412182315+00,202412182330+00,Z34,ZA4,TL,9905048000007,9985046000001
50120962218,1-1:1.29.0,1.656,220,202412182330+00,202412182345+00,Z34,ZA4,TL,9905048000007,9985046000001
50120962218,1-1:1.29.0,1.756,220,202412182345+00,202412190000+00,Z34,ZA4,TL,9905048000007,9985046000001
50120962218,1-1:1.29.0,1.528,220,202412190000+00,202412190015+00,Z34,ZA4,TL,9905048000007,9985046000001
50120962218,1-1:1.29.0,1.418,220,202412190015+00,202412190030+00,Z34,ZA4,TL,9905048000007,9985046000001
50120962218,1-1:1.29.0,1.561,220,202412190030+00,202412190045+00,Z34,ZA4,TL,9905048000007,9985046000001
50120962218,1-1:1.29.0,1.659,220,202412190045+00,202412190100+00,Z34,ZA4,TL,9905048000007,9985046000001
50120962218,1-1:1.29.0,1.22,67,202412190100+00,202412190115+00,Z40,ZB0,TL,9905048000007,9985046000001
50120962218,1-1:1.29.0,1.22,67,202412190115+00,202412190130+00,Z40,ZB0,TL,9905048000007,9985046000001
50120962218,1-1:1.29.0,1.495,220,202412190130+00,202412190145+00,Z34,ZA4,TL,9905048000007,9985046000001
50120962218,1-1:1.29.0,1.413,67,202412190145+00,202412190200+00,Z40,ZB0,TL,9905048000007,9985046000001
50120962218,1-1:1.29.0,1.413,67,202412190200+00,202412190215+00,Z40,ZB0,TL,9905048000007,9985046000001
50120962218,1-1:1.29.0,1.413,67,202412190215+00,202412190230+00,Z40,ZB0,TL,9905048000007,9985046000001
50120962218,1-1:1.29.0,1.413,67,202412190230+00,202412190245+00,Z40,ZB0,TL,9905048000007,9985046000001
50120962218,1-1:1.29.0,1.474,220,202412190245+00,202412190300+00,Z34,ZA4,TL,9905048000007,9985046000001
50120962218,1-1:1.29.0,1.42,220,202412190300+00,202412190315+00,Z34,ZA4,TL,9905048000007,9985046000001
50120962218,1-1:1.29.0,1.123,220,202412190315+00,202412190330+00,Z34,ZA4,TL,9905048000007,9985046000001
50120962218,1-1:1.29.0,0.996,220,202412190330+00,202412190345+00,Z34,ZA4,TL,9905048000007,9985046000001
50120962218,1-1:1.29.0,0.848,220,202412190345+00,202412190400+00,Z34,ZA4,TL,9905048000007,9985046000001
50120962218,1-1:1.29.0,0.795,220,202412190400+00,202412190415+00,Z34,ZA4,TL,9905048000007,9985046000001
50120962218,1-1:1.29.0,1.072,220,202412190415+00,202412190430+00,Z34,ZA4,TL,9905048000007,9985046000001
50120962218,1-1:1.29.0,1.218,220,202412190430+00,202412190445+00,Z34,ZA4,TL,9905048000007,9985046000001
50120962218,1-1:1.29.0,1.334,220,202412190445+00,202412190500+00,Z34,ZA4,TL,9905048000007,9985046000001
50120962218,1-1:1.29.0,1.147,220,202412190500+00,202412190515+00,Z34,ZA4,TL,9905048000007,9985046000001
50120962218,1-1:1.29.0,1.125,220,202412190515+00,202412190530+00,Z34,ZA4,TL,9905048000007,9985046000001
50120962218,1-1:1.29.0,0.985,220,202412190530+00,202412190545+00,Z34,ZA4,TL,9905048000007,9985046000001
50120962218,1-1:1.29.0,0.996,220,202412190545+00,202412190600+00,Z34,ZA4,TL,9905048000007,9985046000001
50120962218,1-1:1.29.0,0.921,220,202412190600+00,202412190615+00,Z34,ZA4,TL,9905048000007,9985046000001
50120962218,1-1:1.29.0,0.999,220,202412190615+00,202412190630+00,Z34,ZA4,TL,9905048000007,9985046000001
50120962218,1-1:1.29.0,2.642,220,202412190630+00,202412190645+00,Z34,ZA4,TL,9905048000007,9985046000001
50120962218,1-1:1.29.0,2.85,220,202412190645+00,202412190700+00,Z34,ZA4,TL,9905048000007,9985046000001
50120962218,1-1:1.29.0,1.311,220,202412190700+00,202412190715+00,Z34,ZA4,TL,9905048000007,9985046000001
50120962218,1-1:1.29.0,1.367,220,202412190715+00,202412190730+00,Z34,ZA4,TL,9905048000007,9985046000001
50120962218,1-1:1.29.0,1.312,220,202412190730+00,202412190745+00,Z34,ZA4,TL,9905048000007,9985046000001
50120962218,1-1:1.29.0,1.985,220,202412190745+00,202412190800+00,Z34,ZA4,TL,9905048000007,9985046000001
50120962218,1-1:1.29.0,1.718,220,202412190800+00,202412190815+00,Z34,ZA4,TL,9905048000007,9985046000001
50120962218,1-1:1.29.0,0.956,220,202412190815+00,202412190830+00,Z34,ZA4,TL,9905048000007,9985046000001
50120962218,1-1:1.29.0,0.445,220,202412190830+00,202412190845+00,Z34,ZA4,TL,9905048000007,9985046000001
