message_function_code-1001,party_id-3039,product_number-7140,location_code-3225,start,end,quantity_value-6060,quantity_qualifier-6063,message
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-29 23:00:00,2024-12-29 23:15:00,1.567,220,MSCONS_TL_9905048000007_9985046000001_20241231_CS0000000G07JK.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-29 23:15:00,2024-12-29 23:30:00,1.944,220,MSCONS_TL_9905048000007_9985046000001_20241231_CS0000000G07JK.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-29 23:30:00,2024-12-29 23:45:00,1.82,220,MSCONS_TL_9905048000007_9985046000001_20241231_CS0000000G07JK.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-29 23:45:00,2024-12-30 00:00:00,2.02,220,MSCONS_TL_9905048000007_9985046000001_20241231_CS0000000G07JK.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-30 00:00:00,2024-12-30 00:15:00,2.013,220,MSCONS_TL_9905048000007_9985046000001_20241231_CS0000000G07JK.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-30 00:15:00,2024-12-30 00:30:00,1.669,220,MSCONS_TL_9905048000007_9985046000001_20241231_CS0000000G07JK.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-30 00:30:00,2024-12-30 00:45:00,1.935,220,MSCONS_TL_9905048000007_9985046000001_20241231_CS0000000G07JK.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-30 00:45:00,2024-12-30 01:00:00,1.954,220,MSCONS_TL_9905048000007_9985046000001_20241231_CS0000000G07JK.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-30 01:00:00,2024-12-30 01:15:00,2.648,220,MSCONS_TL_9905048000007_9985046000001_20241231_CS0000000G07JK.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-30 01:15:00,2024-12-30 01:30:00,3.421,220,MSCONS_TL_9905048000007_9985046000001_20241231_CS0000000G07JK.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-30 01:30:00,2024-12-30 01:45:00,3.032,220,MSCONS_TL_9905048000007_9985046000001_20241231_CS0000000G07JK.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-30 01:45:00,2024-12-30 02:00:00,2.092,220,MSCONS_TL_9905048000007_9985046000001_20241231_CS0000000G07JK.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-30 02:00:00,2024-12-30 02:15:00,1.948,220,MSCONS_TL_9905048000007_9985046000001_20241231_CS0000000G07JK.json
