message_function_code-1001,party_id-3039,product_number-7140,location_code-3225,start,end,quantity_value-6060,quantity_qualifier-6063,message
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-14 23:00:00,2024-12-14 23:15:00,1.276,67,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZA.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-14 23:15:00,2024-12-14 23:30:00,1.224,67,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZA.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-14 23:30:00,2024-12-14 23:45:00,1.736,67,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZA.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-14 23:45:00,2024-12-15 00:00:00,2.168,67,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZA.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-15 00:00:00,2024-12-15 00:15:00,2.168,67,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZA.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-15 00:15:00,2024-12-15 00:30:00,2.168,67,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZA.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-15 00:30:00,2024-12-15 00:45:00,2.168,67,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZA.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-15 00:45:00,2024-12-15 01:00:00,2.168,67,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZA.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-15 01:00:00,2024-12-15 01:15:00,2.168,67,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZA.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-15 01:15:00,2024-12-15 01:30:00,2.703,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZA.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-15 01:30:00,2024-12-15 01:45:00,4.256,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZA.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-15 01:45:00,2024-12-15 02:00:00,3.476,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZA.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-15 02:00:00,2024-12-15 02:15:00,2.092,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZA.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-15 02:15:00,2024-12-15 02:30:00,1.736,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZA.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-15 02:30:00,2024-12-15 02:45:00,1.563,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZA.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-15 02:45:00,2024-12-15 03:00:00,1.497,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZA.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-15 03:00:00,2024-12-15 03:15:00,1.917,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZA.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-15 03:15:00,2024-12-15 03:30:00,2.071,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZA.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-15 03:30:00,2024-12-15 03:45:00,2.686,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZA.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-15 03:45:00,2024-12-15 04:00:00,2.742,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZA.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-15 04:00:00,2024-12-15 04:15:00,3.859,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZA.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-15 04:15:00,2024-12-15 04:30:00,4.265,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZA.json
