message_function_code-1001,party_id-3039,product_number-7140,location_code-3225,start,end,quantity_value-6060,quantity_qualifier-6063,message
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-15 23:00:00,2024-12-15 23:15:00,1.549,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FSZSU.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-15 23:15:00,2024-12-15 23:30:00,1.449,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FSZSU.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-15 23:30:00,2024-12-15 23:45:00,1.588,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FSZSU.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-15 23:45:00,2024-12-16 00:00:00,2.094,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FSZSU.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-16 00:00:00,2024-12-16 00:15:00,1.493,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FSZSU.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-16 00:15:00,2024-12-16 00:30:00,1.71,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FSZSU.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-16 00:30:00,2024-12-16 00:45:00,1.866,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FSZSU.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-16 00:45:00,2024-12-16 01:00:00,1.761,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FSZSU.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-16 01:00:00,2024-12-16 01:15:00,2.168,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FSZSU.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-16 01:15:00,2024-12-16 01:30:00,2.494,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FSZSU.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-16 01:30:00,2024-12-16 01:45:00,2.258,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FSZSU.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-16 01:45:00,2024-12-16 02:00:00,1.97,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FSZSU.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-16 02:00:00,2024-12-16 02:15:00,0.13,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FSZSU.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-16 02:15:00,2024-12-16 02:30:00,0.018,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FSZSU.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-16 02:30:00,2024-12-16 02:45:00,1.823,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FSZSU.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-16 02:45:00,2024-12-16 03:00:00,1.864,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FSZSU.json
