message_function_code-1001,party_id-3039,product_number-7140,location_code-3225,start,end,quantity_value-6060,quantity_qualifier-6063,message
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-09 23:00:00,2024-12-09 23:15:00,1.308,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FSZV3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-09 23:15:00,2024-12-09 23:30:00,1.569,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FSZV3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-09 23:30:00,2024-12-09 23:45:00,2.359,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FSZV3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-09 23:45:00,2024-12-10 00:00:00,2.198,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FSZV3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-10 00:00:00,2024-12-10 00:15:00,1.265,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FSZV3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-10 00:15:00,2024-12-10 00:30:00,1.274,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FSZV3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-10 00:30:00,2024-12-10 00:45:00,1.168,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FSZV3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-10 00:45:00,2024-12-10 01:00:00,1.01,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FSZV3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-10 01:00:00,2024-12-10 01:15:00,1.764,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FSZV3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-10 01:15:00,2024-12-10 01:30:00,1.723,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FSZV3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-10 01:30:00,2024-12-10 01:45:00,1.664,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FSZV3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-10 01:45:00,2024-12-10 02:00:00,2.095,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FSZV3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-10 02:00:00,2024-12-10 02:15:00,2.184,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FSZV3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-10 02:15:00,2024-12-10 02:30:00,2.218,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FSZV3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-10 02:30:00,2024-12-10 02:45:00,2.324,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FSZV3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-10 02:45:00,2024-12-10 03:00:00,2.29,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FSZV3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-10 03:00:00,2024-12-10 03:15:00,1.141,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FSZV3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-10 03:15:00,2024-12-10 03:30:00,1.463,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FSZV3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-10 03:30:00,2024-12-10 03:45:00,1.555,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FSZV3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-10 03:45:00,2024-12-10 04:00:00,1.681,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FSZV3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-10 04:00:00,2024-12-10 04:15:00,1.699,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FSZV3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-10 04:15:00,2024-12-10 04:30:00,1.467,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FSZV3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-10 04:30:00,2024-12-10 04:45:00,1.327,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FSZV3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-10 04:45:00,2024-12-10 05:00:00,1.232,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FSZV3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-10 05:00:00,2024-12-10 05:15:00,1.881,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FSZV3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-10 05:15:00,2024-12-10 05:30:00,3.817,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FSZV3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-10 05:30:00,2024-12-10 05:45:00,2.154,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FSZV3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-10 05:45:00,2024-12-10 06:00:00,2.733,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FSZV3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-10 06:00:00,2024-12-10 06:15:00,3.701,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FSZV3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-10 06:15:00,2024-12-10 06:30:00,3.266,Z18,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FSZV3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-10 06:30:00,2024-12-10 06:45:00,3.266,Z18,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FSZV3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-10 06:45:00,2024-12-10 07:00:00,3.266,Z18,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FSZV3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-10 07:00:00,2024-12-10 07:15:00,3.8,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FSZV3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-10 07:15:00,2024-12-10 07:30:00,3.996,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FSZV3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-10 07:30:00,2024-12-10 07:45:00,3.949,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FSZV3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-10 07:45:00,2024-12-10 08:00:00,2.792,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FSZV3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-10 08:00:00,2024-12-10 08:15:00,1.094,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FSZV3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-10 08:15:00,2024-12-10 08:30:00,0.643,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FSZV3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-10 08:30:00,2024-12-10 08:45:00,1.105,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FSZV3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-10 08:45:00,2024-12-10 09:00:00,2.378,Z18,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FSZV3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-10 09:00:00,2024-12-10 09:15:00,2.378,Z18,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FSZV3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-10 09:15:00,2024-12-10 09:30:00,2.378,Z18,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FSZV3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-10 09:30:00,2024-12-10 09:45:00,2.082,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FSZV3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-10 09:45:00,2024-12-10 10:00:00,1.665,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FSZV3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-10 10:00:00,2024-12-10 10:15:00,2.382,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FSZV3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-10 10:15:00,2024-12-10 10:30:00,2.71,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FSZV3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-10 10:30:00,2024-12-10 10:45:00,2.603,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FSZV3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-10 10:45:00,2024-12-10 11:00:00,2.665,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FSZV3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-10 11:00:00,2024-12-10 11:15:00,2.243,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FSZV3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-10 11:15:00,2024-12-10 11:30:00,2.755,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FSZV3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-10 11:30:00,2024-12-10 11:45:00,3.243,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FSZV3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-10 11:45:00,2024-12-10 12:00:00,3.259,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FSZV3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-10 12:00:00,2024-12-10 12:15:00,2.272,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FSZV3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-10 12:15:00,2024-12-10 12:30:00,0.348,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FSZV3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-10 12:30:00,2024-12-10 12:45:00,0.311,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FSZV3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-10 12:45:00,2024-12-10 13:00:00,0.45,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FSZV3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-10 13:00:00,2024-12-10 13:15:00,1.51,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FSZV3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-10 13:15:00,2024-12-10 13:30:00,1.834,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FSZV3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-10 13:30:00,2024-12-10 13:45:00,1.717,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FSZV3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-10 13:45:00,2024-12-10 14:00:00,2.023,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FSZV3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-10 14:00:00,2024-12-10 14:15:00,3.985,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FSZV3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-10 14:15:00,2024-12-10 14:30:00,2.003,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FSZV3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-10 14:30:00,2024-12-10 14:45:00,3.383,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FSZV3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-10 14:45:00,2024-12-10 15:00:00,3.359,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FSZV3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-10 15:00:00,2024-12-10 15:15:00,3.718,Z18,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FSZV3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-10 15:15:00,2024-12-10 15:30:00,3.718,Z18,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FSZV3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-10 15:30:00,2024-12-10 15:45:00,1.715,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FSZV3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-10 15:45:00,2024-12-10 16:00:00,0.798,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FSZV3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-10 16:00:00,2024-12-10 16:15:00,1.084,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FSZV3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-10 16:15:00,2024-12-10 16:30:00,0.895,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FSZV3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-10 16:30:00,2024-12-10 16:45:00,1.301,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FSZV3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-10 16:45:00,2024-12-10 17:00:00,2.667,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FSZV3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-10 17:00:00,2024-12-10 17:15:00,2.277,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FSZV3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-10 17:15:00,2024-12-10 17:30:00,0.978,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FSZV3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-10 17:30:00,2024-12-10 17:45:00,1.655,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FSZV3.json
