message_function_code-1001,party_id-3039,product_number-7140,location_code-3225,start,end,quantity_value-6060,quantity_qualifier-6063,message
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-26 23:00:00,2024-12-26 23:15:00,1.339,220,MSCONS_TL_9905048000007_9985046000001_20241228_CS0000000FVNF0.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-26 23:15:00,2024-12-26 23:30:00,2.223,220,MSCONS_TL_9905048000007_9985046000001_20241228_CS0000000FVNF0.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-26 23:30:00,2024-12-26 23:45:00,1.683,220,MSCONS_TL_9905048000007_9985046000001_20241228_CS0000000FVNF0.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-26 23:45:00,2024-12-27 00:00:00,1.022,220,MSCONS_TL_9905048000007_9985046000001_20241228_CS0000000FVNF0.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-27 00:00:00,2024-12-27 00:15:00,0.96,220,MSCONS_TL_9905048000007_9985046000001_20241228_CS0000000FVNF0.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-27 00:15:00,2024-12-27 00:30:00,0.785,220,MSCONS_TL_9905048000007_9985046000001_20241228_CS0000000FVNF0.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-27 00:30:00,2024-12-27 00:45:00,0.769,220,MSCONS_TL_9905048000007_9985046000001_20241228_CS0000000FVNF0.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-27 00:45:00,2024-12-27 01:00:00,1.086,220,MSCONS_TL_9905048000007_9985046000001_20241228_CS0000000FVNF0.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-27 01:00:00,2024-12-27 01:15:00,1.145,220,MSCONS_TL_9905048000007_9985046000001_20241228_CS0000000FVNF0.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-27 01:15:00,2024-12-27 01:30:00,1.151,220,MSCONS_TL_9905048000007_9985046000001_20241228_CS0000000FVNF0.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-27 01:30:00,2024-12-27 01:45:00,1.157,220,MSCONS_TL_9905048000007_9985046000001_20241228_CS0000000FVNF0.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-27 01:45:00,2024-12-27 02:00:00,1.399,220,MSCONS_TL_9905048000007_9985046000001_20241228_CS0000000FVNF0.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-27 02:00:00,2024-12-27 02:15:00,1.539,220,MSCONS_TL_9905048000007_9985046000001_20241228_CS0000000FVNF0.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-27 02:15:00,2024-12-27 02:30:00,1.354,220,MSCONS_TL_9905048000007_9985046000001_20241228_CS0000000FVNF0.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-27 02:30:00,2024-12-27 02:45:00,2.172,220,MSCONS_TL_9905048000007_9985046000001_20241228_CS0000000FVNF0.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-27 02:45:00,2024-12-27 03:00:00,2.397,220,MSCONS_TL_9905048000007_9985046000001_20241228_CS0000000FVNF0.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-27 03:00:00,2024-12-27 03:15:00,1.697,220,MSCONS_TL_9905048000007_9985046000001_20241228_CS0000000FVNF0.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-27 03:15:00,2024-12-27 03:30:00,1.269,220,MSCONS_TL_9905048000007_9985046000001_20241228_CS0000000FVNF0.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-27 03:30:00,2024-12-27 03:45:00,0.781,220,MSCONS_TL_9905048000007_9985046000001_20241228_CS0000000FVNF0.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-27 03:45:00,2024-12-27 04:00:00,0.78,220,MSCONS_TL_9905048000007_9985046000001_20241228_CS0000000FVNF0.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-27 04:00:00,2024-12-27 04:15:00,0.244,220,MSCONS_TL_9905048000007_9985046000001_20241228_CS0000000FVNF0.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-27 04:15:00,2024-12-27 04:30:00,1.45,220,MSCONS_TL_9905048000007_9985046000001_20241228_CS0000000FVNF0.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-27 04:30:00,2024-12-27 04:45:00,1.688,220,MSCONS_TL_9905048000007_9985046000001_20241228_CS0000000FVNF0.json
