message_function_code-1001,party_id-3039,product_number-7140,location_code-3225,start,end,quantity_value-6060,quantity_qualifier-6063,message
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-03 23:00:00,2025-01-03 23:15:00,0.873,220,MSCONS_TL_9905048000007_9985046000001_20250105_CS0000000G5CFK.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-03 23:15:00,2025-01-03 23:30:00,1.465,Z18,MSCONS_TL_9905048000007_9985046000001_20250105_CS0000000G5CFK.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-03 23:30:00,2025-01-03 23:45:00,1.465,Z18,MSCONS_TL_9905048000007_9985046000001_20250105_CS0000000G5CFK.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-03 23:45:00,2025-01-04 00:00:00,1.502,Z18,MSCONS_TL_9905048000007_9985046000001_20250105_CS0000000G5CFK.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-04 00:00:00,2025-01-04 00:15:00,1.502,Z18,MSCONS_TL_9905048000007_9985046000001_20250105_CS0000000G5CFK.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-04 00:15:00,2025-01-04 00:30:00,2.538,220,MSCONS_TL_9905048000007_9985046000001_20250105_CS0000000G5CFK.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-04 00:30:00,2025-01-04 00:45:00,2.716,220,MSCONS_TL_9905048000007_9985046000001_20250105_CS0000000G5CFK.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-04 00:45:00,2025-01-04 01:00:00,2.9,220,MSCONS_TL_9905048000007_9985046000001_20250105_CS0000000G5CFK.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-04 01:00:00,2025-01-04 01:15:00,2.939,220,MSCONS_TL_9905048000007_9985046000001_20250105_CS0000000G5CFK.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-04 01:15:00,2025-01-04 01:30:00,4.333,220,MSCONS_TL_9905048000007_9985046000001_20250105_CS0000000G5CFK.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-04 01:30:00,2025-01-04 01:45:00,4.084,220,MSCONS_TL_9905048000007_9985046000001_20250105_CS0000000G5CFK.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-04 01:45:00,2025-01-04 02:00:00,2.663,220,MSCONS_TL_9905048000007_9985046000001_20250105_CS0000000G5CFK.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-04 02:00:00,2025-01-04 02:15:00,1.828,220,MSCONS_TL_9905048000007_9985046000001_20250105_CS0000000G5CFK.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-04 02:15:00,2025-01-04 02:30:00,1.503,220,MSCONS_TL_9905048000007_9985046000001_20250105_CS0000000G5CFK.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-04 02:30:00,2025-01-04 02:45:00,1.417,220,MSCONS_TL_9905048000007_9985046000001_20250105_CS0000000G5CFK.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-04 02:45:00,2025-01-04 03:00:00,2.037,220,MSCONS_TL_9905048000007_9985046000001_20250105_CS0000000G5CFK.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-04 03:00:00,2025-01-04 03:15:00,2.124,220,MSCONS_TL_9905048000007_9985046000001_20250105_CS0000000G5CFK.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-04 03:15:00,2025-01-04 03:30:00,1.617,220,MSCONS_TL_9905048000007_9985046000001_20250105_CS0000000G5CFK.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-04 03:30:00,2025-01-04 03:45:00,2.557,220,MSCONS_TL_9905048000007_9985046000001_20250105_CS0000000G5CFK.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-04 03:45:00,2025-01-04 04:00:00,2.988,220,MSCONS_TL_9905048000007_9985046000001_20250105_CS0000000G5CFK.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-04 04:00:00,2025-01-04 04:15:00,2.516,220,MSCONS_TL_9905048000007_9985046000001_20250105_CS0000000G5CFK.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-04 04:15:00,2025-01-04 04:30:00,1.695,220,MSCONS_TL_9905048000007_9985046000001_20250105_CS0000000G5CFK.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-04 04:30:00,2025-01-04 04:45:00,1.824,220,MSCONS_TL_9905048000007_9985046000001_20250105_CS0000000G5CFK.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-04 04:45:00,2025-01-04 05:00:00,1.892,220,MSCONS_TL_9905048000007_9985046000001_20250105_CS0000000G5CFK.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-04 05:00:00,2025-01-04 05:15:00,1.8,220,MSCONS_TL_9905048000007_9985046000001_20250105_CS0000000G5CFK.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-04 05:15:00,2025-01-04 05:30:00,2.312,220,MSCONS_TL_9905048000007_9985046000001_20250105_CS0000000G5CFK.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-04 05:30:00,2025-01-04 05:45:00,2.272,220,MSCONS_TL_9905048000007_9985046000001_20250105_CS0000000G5CFK.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-04 05:45:00,2025-01-04 06:00:00,2.8,220,MSCONS_TL_9905048000007_9985046000001_20250105_CS0000000G5CFK.json
