message_function_code-1001,party_id-3039,product_number-7140,location_code-3225,start,end,quantity_value-6060,quantity_qualifier-6063,message
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-04 23:00:00,2025-01-04 23:15:00,2.67,220,MSCONS_TL_9905048000007_9985046000001_20250106_CS0000000G5L5Y.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-04 23:15:00,2025-01-04 23:30:00,1.702,220,MSCONS_TL_9905048000007_9985046000001_20250106_CS0000000G5L5Y.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-04 23:30:00,2025-01-04 23:45:00,1.522,220,MSCONS_TL_9905048000007_9985046000001_20250106_CS0000000G5L5Y.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-04 23:45:00,2025-01-05 00:00:00,1.462,220,MSCONS_TL_9905048000007_9985046000001_20250106_CS0000000G5L5Y.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-05 00:00:00,2025-01-05 00:15:00,1.678,220,MSCONS_TL_9905048000007_9985046000001_20250106_CS0000000G5L5Y.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-05 00:15:00,2025-01-05 00:30:00,2.036,220,MSCONS_TL_9905048000007_9985046000001_20250106_CS0000000G5L5Y.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-05 00:30:00,2025-01-05 00:45:00,3.189,220,MSCONS_TL_9905048000007_9985046000001_20250106_CS0000000G5L5Y.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-05 00:45:00,2025-01-05 01:00:00,3.667,220,MSCONS_TL_9905048000007_9985046000001_20250106_CS0000000G5L5Y.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-05 01:00:00,2025-01-05 01:15:00,2.928,220,MSCONS_TL_9905048000007_9985046000001_20250106_CS0000000G5L5Y.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-05 01:15:00,2025-01-05 01:30:00,3.186,220,MSCONS_TL_9905048000007_9985046000001_20250106_CS0000000G5L5Y.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-05 01:30:00,2025-01-05 01:45:00,2.107,Z18,MSCONS_TL_9905048000007_9985046000001_20250106_CS0000000G5L5Y.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-05 01:45:00,2025-01-05 02:00:00,2.107,Z18,MSCONS_TL_9905048000007_9985046000001_20250106_CS0000000G5L5Y.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-05 02:00:00,2025-01-05 02:15:00,1.677,220,MSCONS_TL_9905048000007_9985046000001_20250106_CS0000000G5L5Y.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-05 02:15:00,2025-01-05 02:30:00,2.303,Z18,MSCONS_TL_9905048000007_9985046000001_20250106_CS0000000G5L5Y.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-05 02:30:00,2025-01-05 02:45:00,2.303,Z18,MSCONS_TL_9905048000007_9985046000001_20250106_CS0000000G5L5Y.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-05 02:45:00,2025-01-05 03:00:00,3.967,Z18,MSCONS_TL_9905048000007_9985046000001_20250106_CS0000000G5L5Y.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-05 03:00:00,2025-01-05 03:15:00,3.967,Z18,MSCONS_TL_9905048000007_9985046000001_20250106_CS0000000G5L5Y.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-05 03:15:00,2025-01-05 03:30:00,2.521,220,MSCONS_TL_9905048000007_9985046000001_20250106_CS0000000G5L5Y.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-05 03:30:00,2025-01-05 03:45:00,1.769,220,MSCONS_TL_9905048000007_9985046000001_20250106_CS0000000G5L5Y.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-05 03:45:00,2025-01-05 04:00:00,1.309,220,MSCONS_TL_9905048000007_9985046000001_20250106_CS0000000G5L5Y.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-05 04:00:00,2025-01-05 04:15:00,1.555,Z18,MSCONS_TL_9905048000007_9985046000001_20250106_CS0000000G5L5Y.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-05 04:15:00,2025-01-05 04:30:00,1.555,Z18,MSCONS_TL_9905048000007_9985046000001_20250106_CS0000000G5L5Y.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-05 04:30:00,2025-01-05 04:45:00,1.669,220,MSCONS_TL_9905048000007_9985046000001_20250106_CS0000000G5L5Y.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-05 04:45:00,2025-01-05 05:00:00,2.209,220,MSCONS_TL_9905048000007_9985046000001_20250106_CS0000000G5L5Y.json
