message_function_code-1001,party_id-3039,product_number-7140,location_code-3225,start,end,quantity_value-6060,quantity_qualifier-6063,message
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-10 23:00:00,2024-12-10 23:15:00,1.503,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZ6.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-10 23:15:00,2024-12-10 23:30:00,1.785,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZ6.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-10 23:30:00,2024-12-10 23:45:00,1.691,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZ6.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-10 23:45:00,2024-12-11 00:00:00,2.095,67,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZ6.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-11 00:00:00,2024-12-11 00:15:00,2.095,67,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZ6.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-11 00:15:00,2024-12-11 00:30:00,3.393,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZ6.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-11 00:30:00,2024-12-11 00:45:00,2.189,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZ6.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-11 00:45:00,2024-12-11 01:00:00,1.146,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZ6.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-11 01:00:00,2024-12-11 01:15:00,1.649,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZ6.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-11 01:15:00,2024-12-11 01:30:00,1.711,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZ6.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-11 01:30:00,2024-12-11 01:45:00,1.809,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZ6.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-11 01:45:00,2024-12-11 02:00:00,1.803,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZ6.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-11 02:00:00,2024-12-11 02:15:00,2.312,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZ6.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-11 02:15:00,2024-12-11 02:30:00,3.056,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZ6.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-11 02:30:00,2024-12-11 02:45:00,3.036,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZ6.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-11 02:45:00,2024-12-11 03:00:00,3.054,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZ6.json
