message_function_code-1001,party_id-3039,product_number-7140,location_code-3225,start,end,quantity_value-6060,quantity_qualifier-6063,message
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-23 23:00:00,2024-12-23 23:15:00,0.867,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9ZKF.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-23 23:15:00,2024-12-23 23:30:00,0.998,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9ZKF.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-23 23:30:00,2024-12-23 23:45:00,1.759,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9ZKF.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-23 23:45:00,2024-12-24 00:00:00,2.127,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9ZKF.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-24 00:00:00,2024-12-24 00:15:00,2.138,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9ZKF.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-24 00:15:00,2024-12-24 00:30:00,1.657,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9ZKF.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-24 00:30:00,2024-12-24 00:45:00,2.772,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9ZKF.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-24 00:45:00,2024-12-24 01:00:00,2.473,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9ZKF.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-24 01:00:00,2024-12-24 01:15:00,1.24,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9ZKF.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-24 01:15:00,2024-12-24 01:30:00,1.021,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9ZKF.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-24 01:30:00,2024-12-24 01:45:00,0.955,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9ZKF.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-24 01:45:00,2024-12-24 02:00:00,0.819,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9ZKF.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-24 02:00:00,2024-12-24 02:15:00,1.011,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9ZKF.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-24 02:15:00,2024-12-24 02:30:00,1.133,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9ZKF.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-24 02:30:00,2024-12-24 02:45:00,1.307,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9ZKF.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-24 02:45:00,2024-12-24 03:00:00,1.36,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9ZKF.json
