message_function_code-1001,party_id-3039,product_number-7140,location_code-3225,start,end,quantity_value-6060,quantity_qualifier-6063,message
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-01 23:00:00,2024-12-01 23:15:00,1.732,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAZ6H.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-01 23:15:00,2024-12-01 23:30:00,2.922,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAZ6H.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-01 23:30:00,2024-12-01 23:45:00,2.792,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAZ6H.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-01 23:45:00,2024-12-02 00:00:00,1.481,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAZ6H.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-02 00:00:00,2024-12-02 00:15:00,0.921,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAZ6H.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-02 00:15:00,2024-12-02 00:30:00,0.797,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAZ6H.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-02 00:30:00,2024-12-02 00:45:00,0.872,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAZ6H.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-02 00:45:00,2024-12-02 01:00:00,0.675,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAZ6H.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-02 01:00:00,2024-12-02 01:15:00,0.749,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAZ6H.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-02 01:15:00,2024-12-02 01:30:00,0.749,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAZ6H.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-02 01:30:00,2024-12-02 01:45:00,1.091,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAZ6H.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-02 01:45:00,2024-12-02 02:00:00,1.094,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAZ6H.json
