message_function_code-1001,party_id-3039,product_number-7140,location_code-3225,start,end,quantity_value-6060,quantity_qualifier-6063,message
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-06 23:00:00,2024-12-06 23:15:00,0.9,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FT0A3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-06 23:15:00,2024-12-06 23:30:00,0.969,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FT0A3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-06 23:30:00,2024-12-06 23:45:00,0.685,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FT0A3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-06 23:45:00,2024-12-07 00:00:00,0.614,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FT0A3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-07 00:00:00,2024-12-07 00:15:00,0.577,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FT0A3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-07 00:15:00,2024-12-07 00:30:00,1.083,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FT0A3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-07 00:30:00,2024-12-07 00:45:00,1.398,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FT0A3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-07 00:45:00,2024-12-07 01:00:00,1.146,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FT0A3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-07 01:00:00,2024-12-07 01:15:00,1.149,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FT0A3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-07 01:15:00,2024-12-07 01:30:00,0.997,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FT0A3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-07 01:30:00,2024-12-07 01:45:00,0.853,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FT0A3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-07 01:45:00,2024-12-07 02:00:00,0.856,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FT0A3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-07 02:00:00,2024-12-07 02:15:00,0.964,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FT0A3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-07 02:15:00,2024-12-07 02:30:00,0.994,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FT0A3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-07 02:30:00,2024-12-07 02:45:00,1.111,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FT0A3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-07 02:45:00,2024-12-07 03:00:00,1.017,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FT0A3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-07 03:00:00,2024-12-07 03:15:00,1.125,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FT0A3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-07 03:15:00,2024-12-07 03:30:00,1.177,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FT0A3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-07 03:30:00,2024-12-07 03:45:00,1.111,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FT0A3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-07 03:45:00,2024-12-07 04:00:00,1.432,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FT0A3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-07 04:00:00,2024-12-07 04:15:00,1.477,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FT0A3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-07 04:15:00,2024-12-07 04:30:00,1.478,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FT0A3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-07 04:30:00,2024-12-07 04:45:00,1.216,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FT0A3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-07 04:45:00,2024-12-07 05:00:00,1.34,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FT0A3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-07 05:00:00,2024-12-07 05:15:00,2.252,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FT0A3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-07 05:15:00,2024-12-07 05:30:00,2.564,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FT0A3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-07 05:30:00,2024-12-07 05:45:00,2.685,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FT0A3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-07 05:45:00,2024-12-07 06:00:00,2.533,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FT0A3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-07 06:00:00,2024-12-07 06:15:00,2.292,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FT0A3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-07 06:15:00,2024-12-07 06:30:00,2.189,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FT0A3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-07 06:30:00,2024-12-07 06:45:00,3.8,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FT0A3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-07 06:45:00,2024-12-07 07:00:00,4.436,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FT0A3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-07 07:00:00,2024-12-07 07:15:00,0.049,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FT0A3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-07 07:15:00,2024-12-07 07:30:00,0.009,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FT0A3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-07 07:30:00,2024-12-07 07:45:00,0.003,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FT0A3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-07 07:45:00,2024-12-07 08:00:00,0.007,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FT0A3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-07 08:00:00,2024-12-07 08:15:00,0.015,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FT0A3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-07 08:15:00,2024-12-07 08:30:00,0.016,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FT0A3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-07 08:30:00,2024-12-07 08:45:00,0.022,Z18,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FT0A3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-07 08:45:00,2024-12-07 09:00:00,0.022,Z18,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FT0A3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-07 09:00:00,2024-12-07 09:15:00,0.022,Z18,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FT0A3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-07 09:15:00,2024-12-07 09:30:00,0.053,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FT0A3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-07 09:30:00,2024-12-07 09:45:00,0.415,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FT0A3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-07 09:45:00,2024-12-07 10:00:00,1.603,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FT0A3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-07 10:00:00,2024-12-07 10:15:00,2.621,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FT0A3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-07 10:15:00,2024-12-07 10:30:00,2.612,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FT0A3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-07 10:30:00,2024-12-07 10:45:00,2.465,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FT0A3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-07 10:45:00,2024-12-07 11:00:00,2.466,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FT0A3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-07 11:00:00,2024-12-07 11:15:00,2.052,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FT0A3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-07 11:15:00,2024-12-07 11:30:00,2.027,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FT0A3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-07 11:30:00,2024-12-07 11:45:00,2.74,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FT0A3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-07 11:45:00,2024-12-07 12:00:00,3.015,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FT0A3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-07 12:00:00,2024-12-07 12:15:00,3.177,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FT0A3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-07 12:15:00,2024-12-07 12:30:00,2.338,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FT0A3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-07 12:30:00,2024-12-07 12:45:00,0.518,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FT0A3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-07 12:45:00,2024-12-07 13:00:00,0.641,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FT0A3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-07 13:00:00,2024-12-07 13:15:00,1.294,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FT0A3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-07 13:15:00,2024-12-07 13:30:00,1.773,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FT0A3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-07 13:30:00,2024-12-07 13:45:00,2.77,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FT0A3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-07 13:45:00,2024-12-07 14:00:00,3.024,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FT0A3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-07 14:00:00,2024-12-07 14:15:00,0.083,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FT0A3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-07 14:15:00,2024-12-07 14:30:00,0.013,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FT0A3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-07 14:30:00,2024-12-07 14:45:00,2.85,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FT0A3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-07 14:45:00,2024-12-07 15:00:00,3.267,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FT0A3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-07 15:00:00,2024-12-07 15:15:00,3.559,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FT0A3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-07 15:15:00,2024-12-07 15:30:00,3.991,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FT0A3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-07 15:30:00,2024-12-07 15:45:00,3.21,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FT0A3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-07 15:45:00,2024-12-07 16:00:00,1.392,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FT0A3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-07 16:00:00,2024-12-07 16:15:00,1.059,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FT0A3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-07 16:15:00,2024-12-07 16:30:00,1.398,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FT0A3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-07 16:30:00,2024-12-07 16:45:00,1.339,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FT0A3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-07 16:45:00,2024-12-07 17:00:00,1.364,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FT0A3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-07 17:00:00,2024-12-07 17:15:00,0.993,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FT0A3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-07 17:15:00,2024-12-07 17:30:00,1.435,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FT0A3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-07 17:30:00,2024-12-07 17:45:00,1.249,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FT0A3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-07 17:45:00,2024-12-07 18:00:00,1.028,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FT0A3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-07 18:00:00,2024-12-07 18:15:00,1.01,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FT0A3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-07 18:15:00,2024-12-07 18:30:00,1.025,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FT0A3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-07 18:30:00,2024-12-07 18:45:00,1.168,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FT0A3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-07 18:45:00,2024-12-07 19:00:00,0.943,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FT0A3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-07 19:00:00,2024-12-07 19:15:00,0.891,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FT0A3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-07 19:15:00,2024-12-07 19:30:00,1.402,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FT0A3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-07 19:30:00,2024-12-07 19:45:00,1.001,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FT0A3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-07 19:45:00,2024-12-07 20:00:00,0.838,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FT0A3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-07 20:00:00,2024-12-07 20:15:00,0.787,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FT0A3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-07 20:15:00,2024-12-07 20:30:00,0.889,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FT0A3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-07 20:30:00,2024-12-07 20:45:00,1.629,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FT0A3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-07 20:45:00,2024-12-07 21:00:00,1.677,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FT0A3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-07 21:00:00,2024-12-07 21:15:00,1.108,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FT0A3.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-07 21:15:00,2024-12-07 21:30:00,1.109,220,MSCONS_TL_9905048000007_9985046000001_20241225_CS0000000FT0A3.json
