message_function_code-1001,party_id-3039,product_number-7140,location_code-3225,start,end,quantity_value-6060,quantity_qualifier-6063,message
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-31 23:00:00,2024-12-31 23:15:00,1.496,220,MSCONS_TL_9905048000007_9985046000001_20250102_CS0000000G1M0X.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-31 23:15:00,2024-12-31 23:30:00,1.462,220,MSCONS_TL_9905048000007_9985046000001_20250102_CS0000000G1M0X.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-31 23:30:00,2024-12-31 23:45:00,1.8,220,MSCONS_TL_9905048000007_9985046000001_20250102_CS0000000G1M0X.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-31 23:45:00,2025-01-01 00:00:00,2.24,220,MSCONS_TL_9905048000007_9985046000001_20250102_CS0000000G1M0X.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-01 00:00:00,2025-01-01 00:15:00,2.325,220,MSCONS_TL_9905048000007_9985046000001_20250102_CS0000000G1M0X.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-01 00:15:00,2025-01-01 00:30:00,2.734,220,MSCONS_TL_9905048000007_9985046000001_20250102_CS0000000G1M0X.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-01 00:30:00,2025-01-01 00:45:00,2.813,220,MSCONS_TL_9905048000007_9985046000001_20250102_CS0000000G1M0X.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-01 00:45:00,2025-01-01 01:00:00,2.531,220,MSCONS_TL_9905048000007_9985046000001_20250102_CS0000000G1M0X.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-01 01:00:00,2025-01-01 01:15:00,2.214,220,MSCONS_TL_9905048000007_9985046000001_20250102_CS0000000G1M0X.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-01 01:15:00,2025-01-01 01:30:00,2.015,220,MSCONS_TL_9905048000007_9985046000001_20250102_CS0000000G1M0X.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-01 01:30:00,2025-01-01 01:45:00,1.979,220,MSCONS_TL_9905048000007_9985046000001_20250102_CS0000000G1M0X.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-01 01:45:00,2025-01-01 02:00:00,2.037,220,MSCONS_TL_9905048000007_9985046000001_20250102_CS0000000G1M0X.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-01 02:00:00,2025-01-01 02:15:00,1.906,220,MSCONS_TL_9905048000007_9985046000001_20250102_CS0000000G1M0X.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-01 02:15:00,2025-01-01 02:30:00,1.814,220,MSCONS_TL_9905048000007_9985046000001_20250102_CS0000000G1M0X.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-01 02:30:00,2025-01-01 02:45:00,2.319,220,MSCONS_TL_9905048000007_9985046000001_20250102_CS0000000G1M0X.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-01 02:45:00,2025-01-01 03:00:00,2.211,220,MSCONS_TL_9905048000007_9985046000001_20250102_CS0000000G1M0X.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-01 03:00:00,2025-01-01 03:15:00,2.998,220,MSCONS_TL_9905048000007_9985046000001_20250102_CS0000000G1M0X.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-01 03:15:00,2025-01-01 03:30:00,2.887,220,MSCONS_TL_9905048000007_9985046000001_20250102_CS0000000G1M0X.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-01 03:30:00,2025-01-01 03:45:00,2.079,220,MSCONS_TL_9905048000007_9985046000001_20250102_CS0000000G1M0X.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-01 03:45:00,2025-01-01 04:00:00,2.049,220,MSCONS_TL_9905048000007_9985046000001_20250102_CS0000000G1M0X.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-01 04:00:00,2025-01-01 04:15:00,2.215,220,MSCONS_TL_9905048000007_9985046000001_20250102_CS0000000G1M0X.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-01 04:15:00,2025-01-01 04:30:00,2.481,220,MSCONS_TL_9905048000007_9985046000001_20250102_CS0000000G1M0X.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-01 04:30:00,2025-01-01 04:45:00,3.199,220,MSCONS_TL_9905048000007_9985046000001_20250102_CS0000000G1M0X.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-01 04:45:00,2025-01-01 05:00:00,3.068,220,MSCONS_TL_9905048000007_9985046000001_20250102_CS0000000G1M0X.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-01 05:00:00,2025-01-01 05:15:00,2.338,220,MSCONS_TL_9905048000007_9985046000001_20250102_CS0000000G1M0X.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-01 05:15:00,2025-01-01 05:30:00,2.137,220,MSCONS_TL_9905048000007_9985046000001_20250102_CS0000000G1M0X.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-01 05:30:00,2025-01-01 05:45:00,1.84,220,MSCONS_TL_9905048000007_9985046000001_20250102_CS0000000G1M0X.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-01 05:45:00,2025-01-01 06:00:00,1.969,220,MSCONS_TL_9905048000007_9985046000001_20250102_CS0000000G1M0X.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-01 06:00:00,2025-01-01 06:15:00,2.144,220,MSCONS_TL_9905048000007_9985046000001_20250102_CS0000000G1M0X.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-01 06:15:00,2025-01-01 06:30:00,2.363,220,MSCONS_TL_9905048000007_9985046000001_20250102_CS0000000G1M0X.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-01 06:30:00,2025-01-01 06:45:00,2.569,220,MSCONS_TL_9905048000007_9985046000001_20250102_CS0000000G1M0X.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-01 06:45:00,2025-01-01 07:00:00,2.831,220,MSCONS_TL_9905048000007_9985046000001_20250102_CS0000000G1M0X.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-01 07:00:00,2025-01-01 07:15:00,2.782,220,MSCONS_TL_9905048000007_9985046000001_20250102_CS0000000G1M0X.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-01 07:15:00,2025-01-01 07:30:00,1.995,220,MSCONS_TL_9905048000007_9985046000001_20250102_CS0000000G1M0X.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-01 07:30:00,2025-01-01 07:45:00,1.476,220,MSCONS_TL_9905048000007_9985046000001_20250102_CS0000000G1M0X.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-01 07:45:00,2025-01-01 08:00:00,1.28,220,MSCONS_TL_9905048000007_9985046000001_20250102_CS0000000G1M0X.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-01 08:00:00,2025-01-01 08:15:00,1.388,220,MSCONS_TL_9905048000007_9985046000001_20250102_CS0000000G1M0X.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-01 08:15:00,2025-01-01 08:30:00,1.505,220,MSCONS_TL_9905048000007_9985046000001_20250102_CS0000000G1M0X.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-01 08:30:00,2025-01-01 08:45:00,2.646,220,MSCONS_TL_9905048000007_9985046000001_20250102_CS0000000G1M0X.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-01 08:45:00,2025-01-01 09:00:00,3.132,220,MSCONS_TL_9905048000007_9985046000001_20250102_CS0000000G1M0X.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-01 09:00:00,2025-01-01 09:15:00,2.868,220,MSCONS_TL_9905048000007_9985046000001_20250102_CS0000000G1M0X.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-01 09:15:00,2025-01-01 09:30:00,0.581,220,MSCONS_TL_9905048000007_9985046000001_20250102_CS0000000G1M0X.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-01 09:30:00,2025-01-01 09:45:00,1.369,220,MSCONS_TL_9905048000007_9985046000001_20250102_CS0000000G1M0X.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-01 09:45:00,2025-01-01 10:00:00,1.074,220,MSCONS_TL_9905048000007_9985046000001_20250102_CS0000000G1M0X.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-01 10:00:00,2025-01-01 10:15:00,3.108,220,MSCONS_TL_9905048000007_9985046000001_20250102_CS0000000G1M0X.json
