message_function_code-1001,party_id-3039,product_number-7140,location_code-3225,start,end,quantity_value-6060,quantity_qualifier-6063,message
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-05 23:00:00,2025-01-05 23:15:00,1.349,220,MSCONS_TL_9905048000007_9985046000001_20250107_CS0000000G6T1Y.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-05 23:15:00,2025-01-05 23:30:00,1.226,220,MSCONS_TL_9905048000007_9985046000001_20250107_CS0000000G6T1Y.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-05 23:30:00,2025-01-05 23:45:00,1.242,220,MSCONS_TL_9905048000007_9985046000001_20250107_CS0000000G6T1Y.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-05 23:45:00,2025-01-06 00:00:00,1.335,220,MSCONS_TL_9905048000007_9985046000001_20250107_CS0000000G6T1Y.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-06 00:00:00,2025-01-06 00:15:00,1.294,220,MSCONS_TL_9905048000007_9985046000001_20250107_CS0000000G6T1Y.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-06 00:15:00,2025-01-06 00:30:00,1.01,220,MSCONS_TL_9905048000007_9985046000001_20250107_CS0000000G6T1Y.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-06 00:30:00,2025-01-06 00:45:00,0.96,220,MSCONS_TL_9905048000007_9985046000001_20250107_CS0000000G6T1Y.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-06 00:45:00,2025-01-06 01:00:00,0.771,220,MSCONS_TL_9905048000007_9985046000001_20250107_CS0000000G6T1Y.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-06 01:00:00,2025-01-06 01:15:00,1.004,220,MSCONS_TL_9905048000007_9985046000001_20250107_CS0000000G6T1Y.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-06 01:15:00,2025-01-06 01:30:00,0.933,220,MSCONS_TL_9905048000007_9985046000001_20250107_CS0000000G6T1Y.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-06 01:30:00,2025-01-06 01:45:00,1.293,220,MSCONS_TL_9905048000007_9985046000001_20250107_CS0000000G6T1Y.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-06 01:45:00,2025-01-06 02:00:00,1.451,220,MSCONS_TL_9905048000007_9985046000001_20250107_CS0000000G6T1Y.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-06 02:00:00,2025-01-06 02:15:00,1.472,220,MSCONS_TL_9905048000007_9985046000001_20250107_CS0000000G6T1Y.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-06 02:15:00,2025-01-06 02:30:00,1.152,220,MSCONS_TL_9905048000007_9985046000001_20250107_CS0000000G6T1Y.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-06 02:30:00,2025-01-06 02:45:00,1.046,220,MSCONS_TL_9905048000007_9985046000001_20250107_CS0000000G6T1Y.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-06 02:45:00,2025-01-06 03:00:00,1.426,220,MSCONS_TL_9905048000007_9985046000001_20250107_CS0000000G6T1Y.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-06 03:00:00,2025-01-06 03:15:00,1.295,220,MSCONS_TL_9905048000007_9985046000001_20250107_CS0000000G6T1Y.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-06 03:15:00,2025-01-06 03:30:00,1.101,220,MSCONS_TL_9905048000007_9985046000001_20250107_CS0000000G6T1Y.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-06 03:30:00,2025-01-06 03:45:00,1.262,220,MSCONS_TL_9905048000007_9985046000001_20250107_CS0000000G6T1Y.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-06 03:45:00,2025-01-06 04:00:00,1.197,220,MSCONS_TL_9905048000007_9985046000001_20250107_CS0000000G6T1Y.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-06 04:00:00,2025-01-06 04:15:00,0.075,220,MSCONS_TL_9905048000007_9985046000001_20250107_CS0000000G6T1Y.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-06 04:15:00,2025-01-06 04:30:00,0.35,220,MSCONS_TL_9905048000007_9985046000001_20250107_CS0000000G6T1Y.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-06 04:30:00,2025-01-06 04:45:00,0.893,220,MSCONS_TL_9905048000007_9985046000001_20250107_CS0000000G6T1Y.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-06 04:45:00,2025-01-06 05:00:00,1.222,220,MSCONS_TL_9905048000007_9985046000001_20250107_CS0000000G6T1Y.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-06 05:00:00,2025-01-06 05:15:00,1.337,220,MSCONS_TL_9905048000007_9985046000001_20250107_CS0000000G6T1Y.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-06 05:15:00,2025-01-06 05:30:00,1.414,220,MSCONS_TL_9905048000007_9985046000001_20250107_CS0000000G6T1Y.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-06 05:30:00,2025-01-06 05:45:00,1.342,220,MSCONS_TL_9905048000007_9985046000001_20250107_CS0000000G6T1Y.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-06 05:45:00,2025-01-06 06:00:00,1.229,220,MSCONS_TL_9905048000007_9985046000001_20250107_CS0000000G6T1Y.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-06 06:00:00,2025-01-06 06:15:00,1.345,220,MSCONS_TL_9905048000007_9985046000001_20250107_CS0000000G6T1Y.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-06 06:15:00,2025-01-06 06:30:00,1.221,220,MSCONS_TL_9905048000007_9985046000001_20250107_CS0000000G6T1Y.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-06 06:30:00,2025-01-06 06:45:00,1.556,220,MSCONS_TL_9905048000007_9985046000001_20250107_CS0000000G6T1Y.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-06 06:45:00,2025-01-06 07:00:00,1.808,220,MSCONS_TL_9905048000007_9985046000001_20250107_CS0000000G6T1Y.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-06 07:00:00,2025-01-06 07:15:00,1.196,220,MSCONS_TL_9905048000007_9985046000001_20250107_CS0000000G6T1Y.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-06 07:15:00,2025-01-06 07:30:00,2.102,220,MSCONS_TL_9905048000007_9985046000001_20250107_CS0000000G6T1Y.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-06 07:30:00,2025-01-06 07:45:00,3.003,220,MSCONS_TL_9905048000007_9985046000001_20250107_CS0000000G6T1Y.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-06 07:45:00,2025-01-06 08:00:00,3.441,220,MSCONS_TL_9905048000007_9985046000001_20250107_CS0000000G6T1Y.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-06 08:00:00,2025-01-06 08:15:00,3.075,220,MSCONS_TL_9905048000007_9985046000001_20250107_CS0000000G6T1Y.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-06 08:15:00,2025-01-06 08:30:00,3.224,220,MSCONS_TL_9905048000007_9985046000001_20250107_CS0000000G6T1Y.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-06 08:30:00,2025-01-06 08:45:00,2.489,220,MSCONS_TL_9905048000007_9985046000001_20250107_CS0000000G6T1Y.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-06 08:45:00,2025-01-06 09:00:00,2.137,220,MSCONS_TL_9905048000007_9985046000001_20250107_CS0000000G6T1Y.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-06 09:00:00,2025-01-06 09:15:00,2.28,220,MSCONS_TL_9905048000007_9985046000001_20250107_CS0000000G6T1Y.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-06 09:15:00,2025-01-06 09:30:00,0.954,220,MSCONS_TL_9905048000007_9985046000001_20250107_CS0000000G6T1Y.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-06 09:30:00,2025-01-06 09:45:00,1.882,220,MSCONS_TL_9905048000007_9985046000001_20250107_CS0000000G6T1Y.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-06 09:45:00,2025-01-06 10:00:00,1.827,220,MSCONS_TL_9905048000007_9985046000001_20250107_CS0000000G6T1Y.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-06 10:00:00,2025-01-06 10:15:00,1.626,220,MSCONS_TL_9905048000007_9985046000001_20250107_CS0000000G6T1Y.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-06 10:15:00,2025-01-06 10:30:00,1.234,220,MSCONS_TL_9905048000007_9985046000001_20250107_CS0000000G6T1Y.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-06 10:30:00,2025-01-06 10:45:00,0.812,220,MSCONS_TL_9905048000007_9985046000001_20250107_CS0000000G6T1Y.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-06 10:45:00,2025-01-06 11:00:00,0.684,220,MSCONS_TL_9905048000007_9985046000001_20250107_CS0000000G6T1Y.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-06 11:00:00,2025-01-06 11:15:00,0.723,220,MSCONS_TL_9905048000007_9985046000001_20250107_CS0000000G6T1Y.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-06 11:15:00,2025-01-06 11:30:00,0.252,220,MSCONS_TL_9905048000007_9985046000001_20250107_CS0000000G6T1Y.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-06 11:30:00,2025-01-06 11:45:00,1.011,220,MSCONS_TL_9905048000007_9985046000001_20250107_CS0000000G6T1Y.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-06 11:45:00,2025-01-06 12:00:00,0.74,220,MSCONS_TL_9905048000007_9985046000001_20250107_CS0000000G6T1Y.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-06 12:00:00,2025-01-06 12:15:00,0.322,220,MSCONS_TL_9905048000007_9985046000001_20250107_CS0000000G6T1Y.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-06 12:15:00,2025-01-06 12:30:00,0.096,220,MSCONS_TL_9905048000007_9985046000001_20250107_CS0000000G6T1Y.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-06 12:30:00,2025-01-06 12:45:00,0.037,220,MSCONS_TL_9905048000007_9985046000001_20250107_CS0000000G6T1Y.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-06 12:45:00,2025-01-06 13:00:00,0.012,220,MSCONS_TL_9905048000007_9985046000001_20250107_CS0000000G6T1Y.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-06 13:00:00,2025-01-06 13:15:00,0.016,220,MSCONS_TL_9905048000007_9985046000001_20250107_CS0000000G6T1Y.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-06 13:15:00,2025-01-06 13:30:00,0.017,220,MSCONS_TL_9905048000007_9985046000001_20250107_CS0000000G6T1Y.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-06 13:30:00,2025-01-06 13:45:00,0.02,220,MSCONS_TL_9905048000007_9985046000001_20250107_CS0000000G6T1Y.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-06 13:45:00,2025-01-06 14:00:00,0.015,220,MSCONS_TL_9905048000007_9985046000001_20250107_CS0000000G6T1Y.json
Z48,9985046000001,1-1:1.29.0,50120962218,2025-01-06 14:00:00,2025-01-06 14:15:00,0.03,220,MSCONS_TL_9905048000007_9985046000001_20250107_CS0000000G6T1Y.json
