message_function_code-1001,party_id-3039,product_number-7140,location_code-3225,start,end,quantity_value-6060,quantity_qualifier-6063,message
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-08 23:00:00,2024-12-08 23:15:00,1.205,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZ4.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-08 23:15:00,2024-12-08 23:30:00,1.802,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZ4.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-08 23:30:00,2024-12-08 23:45:00,2.724,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZ4.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-08 23:45:00,2024-12-09 00:00:00,2.723,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZ4.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-09 00:00:00,2024-12-09 00:15:00,1.555,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZ4.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-09 00:15:00,2024-12-09 00:30:00,1.006,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZ4.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-09 00:30:00,2024-12-09 00:45:00,1.006,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZ4.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-09 00:45:00,2024-12-09 01:00:00,1.238,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZ4.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-09 01:00:00,2024-12-09 01:15:00,2.235,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZ4.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-09 01:15:00,2024-12-09 01:30:00,2.553,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZ4.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-09 01:30:00,2024-12-09 01:45:00,2.513,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZ4.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-09 01:45:00,2024-12-09 02:00:00,2.485,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZ4.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-09 02:00:00,2024-12-09 02:15:00,2.206,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZ4.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-09 02:15:00,2024-12-09 02:30:00,1.952,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZ4.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-09 02:30:00,2024-12-09 02:45:00,1.886,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZ4.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-09 02:45:00,2024-12-09 03:00:00,1.834,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZ4.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-09 03:00:00,2024-12-09 03:15:00,0.148,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZ4.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-09 03:15:00,2024-12-09 03:30:00,0.005,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZ4.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-09 03:30:00,2024-12-09 03:45:00,0.028,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZ4.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-09 03:45:00,2024-12-09 04:00:00,0.006,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZ4.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-09 04:00:00,2024-12-09 04:15:00,0.012,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZ4.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-09 04:15:00,2024-12-09 04:30:00,0.357,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZ4.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-09 04:30:00,2024-12-09 04:45:00,1.435,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZ4.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-09 04:45:00,2024-12-09 05:00:00,1.358,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZ4.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-09 05:00:00,2024-12-09 05:15:00,1.812,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZ4.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-09 05:15:00,2024-12-09 05:30:00,4.014,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZ4.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-09 05:30:00,2024-12-09 05:45:00,1.586,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZ4.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-09 05:45:00,2024-12-09 06:00:00,1.918,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZ4.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-09 06:00:00,2024-12-09 06:15:00,1.639,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZ4.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-09 06:15:00,2024-12-09 06:30:00,1.583,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZ4.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-09 06:30:00,2024-12-09 06:45:00,1.687,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZ4.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-09 06:45:00,2024-12-09 07:00:00,1.57,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZ4.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-09 07:00:00,2024-12-09 07:15:00,1.472,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZ4.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-09 07:15:00,2024-12-09 07:30:00,1.578,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZ4.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-09 07:30:00,2024-12-09 07:45:00,1.513,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZ4.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-09 07:45:00,2024-12-09 08:00:00,2.096,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZ4.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-09 08:00:00,2024-12-09 08:15:00,2.369,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZ4.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-09 08:15:00,2024-12-09 08:30:00,2.995,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZ4.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-09 08:30:00,2024-12-09 08:45:00,3.45,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZ4.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-09 08:45:00,2024-12-09 09:00:00,2.947,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZ4.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-09 09:00:00,2024-12-09 09:15:00,3.264,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZ4.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-09 09:15:00,2024-12-09 09:30:00,3.281,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZ4.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-09 09:30:00,2024-12-09 09:45:00,2.8,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZ4.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-09 09:45:00,2024-12-09 10:00:00,3.277,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZ4.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-09 10:00:00,2024-12-09 10:15:00,2.823,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZ4.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-09 10:15:00,2024-12-09 10:30:00,3.337,67,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZ4.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-09 10:30:00,2024-12-09 10:45:00,3.337,67,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZ4.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-09 10:45:00,2024-12-09 11:00:00,3.102,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZ4.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-09 11:00:00,2024-12-09 11:15:00,2.461,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZ4.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-09 11:15:00,2024-12-09 11:30:00,2.42,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZ4.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-09 11:30:00,2024-12-09 11:45:00,1.967,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZ4.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-09 11:45:00,2024-12-09 12:00:00,1.557,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZ4.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-09 12:00:00,2024-12-09 12:15:00,0.332,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZ4.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-09 12:15:00,2024-12-09 12:30:00,0.327,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZ4.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-09 12:30:00,2024-12-09 12:45:00,0.415,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZ4.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-09 12:45:00,2024-12-09 13:00:00,1.463,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZ4.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-09 13:00:00,2024-12-09 13:15:00,3.414,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZ4.json
