message_function_code-1001,party_id-3039,product_number-7140,location_code-3225,start,end,quantity_value-6060,quantity_qualifier-6063,message
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-28 23:00:00,2024-12-28 23:15:00,1.988,67,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9ZDX.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-28 23:15:00,2024-12-28 23:30:00,1.367,67,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9ZDX.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-28 23:30:00,2024-12-28 23:45:00,1.367,67,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9ZDX.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-28 23:45:00,2024-12-29 00:00:00,2.488,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9ZDX.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-29 00:00:00,2024-12-29 00:15:00,2.513,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9ZDX.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-29 00:15:00,2024-12-29 00:30:00,2.493,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9ZDX.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-29 00:30:00,2024-12-29 00:45:00,2.055,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9ZDX.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-29 00:45:00,2024-12-29 01:00:00,2.423,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9ZDX.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-29 01:00:00,2024-12-29 01:15:00,2.47,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9ZDX.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-29 01:15:00,2024-12-29 01:30:00,2.441,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9ZDX.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-29 01:30:00,2024-12-29 01:45:00,1.786,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9ZDX.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-29 01:45:00,2024-12-29 02:00:00,1.172,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9ZDX.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-29 02:00:00,2024-12-29 02:15:00,2.292,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9ZDX.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-29 02:15:00,2024-12-29 02:30:00,2.063,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9ZDX.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-29 02:30:00,2024-12-29 02:45:00,3.692,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9ZDX.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-29 02:45:00,2024-12-29 03:00:00,3.913,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9ZDX.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-29 03:00:00,2024-12-29 03:15:00,4.0,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9ZDX.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-29 03:15:00,2024-12-29 03:30:00,2.212,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9ZDX.json
