message_function_code-1001,party_id-3039,product_number-7140,location_code-3225,start,end,quantity_value-6060,quantity_qualifier-6063,message
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-13 23:00:00,2024-12-13 23:15:00,2.446,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZ9.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-13 23:15:00,2024-12-13 23:30:00,2.78,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZ9.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-13 23:30:00,2024-12-13 23:45:00,2.442,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZ9.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-13 23:45:00,2024-12-14 00:00:00,1.694,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZ9.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-14 00:00:00,2024-12-14 00:15:00,1.593,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZ9.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-14 00:15:00,2024-12-14 00:30:00,1.697,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZ9.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-14 00:30:00,2024-12-14 00:45:00,2.09,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZ9.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-14 00:45:00,2024-12-14 01:00:00,2.28,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZ9.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-14 01:00:00,2024-12-14 01:15:00,2.136,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZ9.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-14 01:15:00,2024-12-14 01:30:00,2.318,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZ9.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-14 01:30:00,2024-12-14 01:45:00,2.32,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZ9.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-14 01:45:00,2024-12-14 02:00:00,2.488,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZ9.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-14 02:00:00,2024-12-14 02:15:00,2.236,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZ9.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-14 02:15:00,2024-12-14 02:30:00,2.012,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZ9.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-14 02:30:00,2024-12-14 02:45:00,1.833,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZ9.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-14 02:45:00,2024-12-14 03:00:00,1.585,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZ9.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-14 03:00:00,2024-12-14 03:15:00,1.772,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZ9.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-14 03:15:00,2024-12-14 03:30:00,2.79,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZ9.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-14 03:30:00,2024-12-14 03:45:00,2.657,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZ9.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-14 03:45:00,2024-12-14 04:00:00,3.83,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZ9.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-14 04:00:00,2024-12-14 04:15:00,4.373,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZ9.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-14 04:15:00,2024-12-14 04:30:00,4.614,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZ9.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-14 04:30:00,2024-12-14 04:45:00,3.476,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZ9.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-14 04:45:00,2024-12-14 05:00:00,2.681,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZ9.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-14 05:00:00,2024-12-14 05:15:00,2.299,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZ9.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-14 05:15:00,2024-12-14 05:30:00,2.3,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZ9.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-14 05:30:00,2024-12-14 05:45:00,2.251,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZ9.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-14 05:45:00,2024-12-14 06:00:00,2.278,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZ9.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-14 06:00:00,2024-12-14 06:15:00,0.096,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZ9.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-14 06:15:00,2024-12-14 06:30:00,0.018,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZ9.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-14 06:30:00,2024-12-14 06:45:00,2.836,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZ9.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-14 06:45:00,2024-12-14 07:00:00,4.691,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZ9.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-14 07:00:00,2024-12-14 07:15:00,3.339,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZ9.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-14 07:15:00,2024-12-14 07:30:00,3.72,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZ9.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-14 07:30:00,2024-12-14 07:45:00,4.115,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZ9.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-14 07:45:00,2024-12-14 08:00:00,4.47,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZ9.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-14 08:00:00,2024-12-14 08:15:00,4.213,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZ9.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-14 08:15:00,2024-12-14 08:30:00,4.167,220,MSCONS_TL_9905048000007_9985046000001_20250108_CS0000000G9YZ9.json
