message_function_code-1001,party_id-3039,product_number-7140,location_code-3225,start,end,quantity_value-6060,quantity_qualifier-6063,message
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-12 23:00:00,2024-12-12 23:15:00,1.415,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAZ6Q.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-12 23:15:00,2024-12-12 23:30:00,1.163,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAZ6Q.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-12 23:30:00,2024-12-12 23:45:00,1.084,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAZ6Q.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-12 23:45:00,2024-12-13 00:00:00,0.897,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAZ6Q.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-13 00:00:00,2024-12-13 00:15:00,1.447,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAZ6Q.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-13 00:15:00,2024-12-13 00:30:00,1.772,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAZ6Q.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-13 00:30:00,2024-12-13 00:45:00,2.016,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAZ6Q.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-13 00:45:00,2024-12-13 01:00:00,2.633,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAZ6Q.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-13 01:00:00,2024-12-13 01:15:00,2.933,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAZ6Q.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-13 01:15:00,2024-12-13 01:30:00,3.199,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAZ6Q.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-13 01:30:00,2024-12-13 01:45:00,3.032,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAZ6Q.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-13 01:45:00,2024-12-13 02:00:00,1.546,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAZ6Q.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-13 02:00:00,2024-12-13 02:15:00,1.685,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAZ6Q.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-13 02:15:00,2024-12-13 02:30:00,1.621,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAZ6Q.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-13 02:30:00,2024-12-13 02:45:00,1.878,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAZ6Q.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-13 02:45:00,2024-12-13 03:00:00,2.188,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAZ6Q.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-13 03:00:00,2024-12-13 03:15:00,2.181,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAZ6Q.json
