message_function_code-1001,party_id-3039,product_number-7140,location_code-3225,start,end,quantity_value-6060,quantity_qualifier-6063,message
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-20 23:00:00,2024-12-20 23:15:00,1.369,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAZ6T.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-20 23:15:00,2024-12-20 23:30:00,2.091,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAZ6T.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-20 23:30:00,2024-12-20 23:45:00,3.212,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAZ6T.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-20 23:45:00,2024-12-21 00:00:00,3.284,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAZ6T.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-21 00:00:00,2024-12-21 00:15:00,2.075,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAZ6T.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-21 00:15:00,2024-12-21 00:30:00,1.146,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAZ6T.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-21 00:30:00,2024-12-21 00:45:00,1.313,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAZ6T.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-21 00:45:00,2024-12-21 01:00:00,1.384,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAZ6T.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-21 01:00:00,2024-12-21 01:15:00,1.321,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAZ6T.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-21 01:15:00,2024-12-21 01:30:00,1.554,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAZ6T.json
